ipAddress,abuseConfidenceScore,isp,domain,countryCode,totalReports,lastReportedAt
185.83.150.230,0,GibFibre Ltd,gibfibrespeed.com,GI,0,
101.67.50.16,15,Unicom Zhejiang Province Network,chinaunicom.com,CN,15,2024-06-26T14:10:44+00:00
101.67.49.10,22,Unicom Zhejiang Province Network,chinaunicom.com,CN,16,2024-06-28T07:27:42+00:00
101.67.29.65,15,Unicom Zhejiang Province Network,chinaunicom.com,CN,13,2024-06-28T13:02:11+00:00
101.67.49.12,14,Unicom Zhejiang Province Network,chinaunicom.com,CN,14,2024-06-28T10:33:39+00:00
165.225.226.98,0,Zscaler Inc.,zscaler.com,AU,0,
165.225.226.85,0,Zscaler Inc.,zscaler.com,AU,0,
147.161.212.95,0,Zscaler Melbourne,zscaler.com,AU,0,
165.225.114.203,0,Zscaler Inc.,zscaler.com,AU,0,
172.188.82.77,100,Microsoft Limited,microsoft.com,SG,72,2024-06-14T13:29:09+00:00
111.7.96.167,68,China Mobile Communications Corporation,chinamobileltd.com,CN,22,2024-06-28T06:10:20+00:00
111.7.100.28,76,China Mobile Communications Corporation,chinamobileltd.com,CN,25,2024-06-25T21:05:31+00:00
111.7.96.152,82,China Mobile Communications Corporation,chinamobileltd.com,CN,26,2024-06-28T10:20:21+00:00
111.7.96.169,69,China Mobile Communications Corporation,chinamobileltd.com,CN,20,2024-06-28T15:08:00+00:00
111.7.96.153,69,China Mobile Communications Corporation,chinamobileltd.com,CN,15,2024-06-27T13:45:45+00:00
111.7.100.32,60,China Mobile Communications Corporation,chinamobileltd.com,CN,17,2024-06-25T13:11:42+00:00
36.99.136.129,100,ChinaNet Zhejiang Province Network,chinatelecom.com.cn,CN,229,2024-06-28T15:07:59+00:00
123.160.221.133,63,ChinaNet Henan Province Network,chinatelecom.com.cn,CN,24,2024-06-28T15:08:09+00:00
111.7.96.180,90,China Mobile Communications Corporation,chinamobileltd.com,CN,31,2024-06-28T15:08:09+00:00
111.7.96.164,70,China Mobile Communications Corporation,chinamobileltd.com,CN,26,2024-06-28T15:08:07+00:00
192.42.116.219,100,Not SURF Net,as1101.net,NL,377,2024-06-28T09:59:49+00:00
5.188.210.38,30,Petersburg Internet Network Ltd.,pinspb.ru,RU,8,2024-06-04T08:10:02+00:00
172.111.145.226,59,Secure Internet LLC,purevpn.com,FR,1,2024-06-14T16:15:36+00:00
84.239.47.15,24,Invite Systems SRL,adnet.ro,US,0,2024-05-29T16:58:46+00:00
8.20.119.12,0,Spokane Teachers Credit Union,wildlifeeviction.com,US,0,
46.48.82.221,0,LLC Komtehcentr,itmh.ru,RU,0,
104.28.158.134,0,CloudFlare Inc.,cloudflare.com,HK,6,2024-06-20T09:38:20+00:00
104.28.156.214,0,CloudFlare Inc.,cloudflare.com,HK,4,2024-06-20T01:36:50+00:00
172.161.166.95,42,Microsoft Limited,microsoft.com,CH,17,2024-06-06T17:03:01+00:00
212.56.83.175,0,British Telecommunications PLC,bt.com,GB,0,
111.7.96.181,52,China Mobile Communications Corporation,chinamobileltd.com,CN,21,2024-06-25T11:43:26+00:00
185.228.3.88,29,Gerardo Cubillo Torralba Empresa Constructora S.L,cubilloconstrucciones.com,PT,5,2024-06-23T09:11:20+00:00
98.159.226.16,30,ExpressVPN,expressvpn.com,VG,18,2024-06-28T04:19:35+00:00
84.240.211.234,100,JSC Kazakhtelecom,telecom.kz,KZ,109,2024-06-28T13:50:05+00:00
79.104.11.18,77,PJSC Vimpelcom,vimpelcom.com,RU,37,2024-06-28T06:58:19+00:00
216.131.105.246,79,Netpr Bru DP,netprotect.com,BE,29,2024-06-26T11:11:56+00:00
45.132.194.3,60,Sennal,panq.nl,BY,66,2024-06-27T05:22:11+00:00
37.139.53.34,100,Petersburg Internet Network Ltd.,pinspb.ru,RU,54,2024-06-28T04:08:50+00:00
206.189.133.64,100,DigitalOcean LLC,digitalocean.com,IN,120,2024-06-21T22:45:06+00:00
194.113.233.61,100,Aleksandr Valerevich Mokhonko,lvs.ru,PL,26,2024-06-09T09:55:26+00:00
45.227.253.150,100,FlyServers S.A.,flyservers.com,PA,145,2024-06-27T07:53:25+00:00
45.227.253.148,100,FlyServers S.A.,flyservers.com,PA,143,2024-06-27T00:56:55+00:00
45.227.253.149,100,FlyServers S.A.,flyservers.com,PA,148,2024-06-26T21:38:32+00:00
45.227.253.147,100,FlyServers S.A.,flyservers.com,PA,148,2024-06-26T22:02:12+00:00
179.60.147.173,100,Veraton Projects Ltd.,layershift.ru,VE,163,2024-06-28T15:07:58+00:00
147.78.47.240,100,M Nets SAL,mnets.net,TR,142,2024-06-28T15:07:58+00:00
52.63.216.63,0,Amazon Technologies Inc.,amazon.com,AU,0,
13.239.62.10,0,Amazon Corporate Services Pty Ltd,amazon.com,AU,0,
3.25.232.57,0,Amazon Corporate Services Pty Ltd,amazon.com,AU,0,
3.104.106.250,0,Amazon Corporate Services Pty Ltd,amazon.com,AU,0,
3.27.64.53,0,Amazon Corporate Services Pty Ltd,amazon.com,AU,0,
13.210.95.155,0,Amazon Corporate Services Pty Ltd,amazon.com,AU,0,
77.77.222.61,26,Telemach BH d.o.o. Sarajevo,telemach.ba,BA,6,2024-06-04T08:02:28+00:00
81.149.15.179,0,British Telecommunications PLC,bt.com,GB,0,
62.133.21.26,0,Obar Ltd,spitfire.co.uk,GB,0,
5.66.145.146,0,SKY UK Limited,sky.com,GB,0,
149.40.50.44,43,DataCamp Limited,datacamp.co.uk,US,8,2024-06-26T06:19:35+00:00
37.139.53.7,63,Petersburg Internet Network Ltd.,pinspb.ru,RU,33,2024-06-24T07:01:16+00:00
84.239.41.14,0,Invite Systems SRL,adnet.ro,US,0,2024-04-30T10:41:14+00:00
195.128.248.15,75,Virtual Systems LLC,v-sys.org,UA,39,2024-06-23T10:32:53+00:00
93.183.92.109,92,Hosting Technology Ltd,vdsina.ru,RU,49,2024-06-14T16:15:37+00:00
109.70.100.71,100,Foundation for Applied Privacy,applied-privacy.net,AT,90,2024-06-28T04:57:17+00:00
5.188.210.80,32,Petersburg Internet Network Ltd.,pinspb.ru,RU,9,2024-06-03T23:16:30+00:00
185.36.147.11,17,FriendHosting L.P.,friendhosting.net,BG,4,2024-06-02T20:49:35+00:00
188.23.45.230,100,A1 Telekom Austria AG,a1telekom.at,AT,119,2024-06-16T12:45:39+00:00
66.42.118.115,0,Vultr Holdings LLC,vultr.com,US,0,
103.82.240.139,100,PT. Exabytes Network Indonesia,exabytes.com,ID,279,2024-06-28T13:27:12+00:00
